News_Headline,Link_Of_News,Source,Stated_On,Date,Label
Says Osama bin Laden endorsed Joe Biden,https://www.politifact.com/factchecks/2020/jun/19/donald-trump-jr/no-osama-bin-laden-did-not-endorse-joe-biden/,Donald Trump Jr.," June 18, 2020"," June 19, 2020",FALSE
CNN aired a video of a toddler running away from another toddler with the headlines “Terrified toddler runs from racist baby” and “Racist baby probably voted for Trump.”,https://www.politifact.com/factchecks/2020/jun/19/donald-trump/trump-shares-manipulated-toddler-video-targeting-c/,Donald Trump," June 18, 2020"," June 19, 2020",pants-fire
Says Tim Tebow “kneeled in protest of abortion during the National Anthem in 2012. He was praised by fans as being a ‘model American.’”,https://www.politifact.com/factchecks/2020/jun/19/facebook-posts/no-tim-tebow-didnt-kneel-during-national-anthem/,Facebook posts," June 12, 2020"," June 19, 2020",FALSE
"“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”",https://www.politifact.com/factchecks/2020/jun/19/paul-junge/biden-called-limits-fracking-not-ban/,Paul Junge," June 10, 2020"," June 19, 2020",barely-true
"""Our health department, our city and our county declared racism as a public health crisis last year.”",https://www.politifact.com/factchecks/2020/jun/18/jeanette-kowalik/milwaukee-was-among-first-declare-racism-public-he/,Jeanette Kowalik," June 14, 2020"," June 18, 2020",TRUE
Says before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.,https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,Donald Trump," June 17, 2020"," June 18, 2020",pants-fire
California’s registered independent voters “will not be able to vote republican come 2020.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/facebook-post-falsely-claims-independents-californ/,Facebook posts," June 6, 2020 "," June 18, 2020",FALSE
"“Antifa now banging on residents’ doors in Seattle, demanding food & supplies. If they don’t get it, the house gets vandalized.”",https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/no-evidence-antifa-members-vandalizing-seattle-hom/,Facebook posts," June 14, 2020"," June 18, 2020",FALSE
“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”,https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trump-falsely-says-obama-administration-did/,Donald Trump," June 16, 2020"," June 18, 2020",FALSE
Says these “elite” figures are on house arrest with ankle monitors “due to child trafficking crimes.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/bogus-conspiracy-about-obama-others-wearing-house-/,Facebook posts," June 16, 2020"," June 18, 2020",pants-fire
"Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth,” that “the NRA are homegrown terrorists,” and that “abortion opponents are the American Taliban.”",https://www.politifact.com/factchecks/2020/jun/18/chris-jacobs/fact-checking-claims-chris-jacobs-nate-mcmurray-de/,Chris Jacobs," June 13, 2020"," June 18, 2020",mostly-true
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,https://www.politifact.com/factchecks/2020/jun/18/monica-wallace/do-two-months-coronavirus-deaths-exceed-number-dru/,Monica Wallace," June 8, 2020 "," June 18, 2020",TRUE
“163 paid protesters just filed a lawsuit against George Soros for not paying their bail.”,https://www.politifact.com/factchecks/2020/jun/18/blog-posting/hoax-websites-republish-made-article-about-protest/,Bloggers," June 12, 2020"," June 18, 2020",pants-fire
“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/fact-checking-claim-about-trump-fired-scientists-a/,Facebook posts," June 15, 2020"," June 18, 2020",half-true
"While in prison, boxer Jack Johnson invented and patented the first wrench, and white people insulted him by calling it a “monkey wrench.”",https://www.politifact.com/factchecks/2020/jun/18/snoop-dogg/no-white-people-didnt-dub-black-boxer-jack-johnson/,Snoop Dogg," June 15, 2020"," June 18, 2020",FALSE
"Nazi Germany’s Hermann Göring worked to ""defund and eliminate the police departments so that they would not interfere with his Brown Shirts.""",https://www.politifact.com/factchecks/2020/jun/18/instagram-posts/social-posts-comparing-defund-police-nazi-germany-/,Instagram posts," June 14, 2020"," June 18, 2020",FALSE
“Speaker Pelosi presents a special ‘service flag’ to Mr. Floyd’s family.”,https://www.politifact.com/factchecks/2020/jun/18/blog-posting/pelosi-didnt-gift-floyd-family-special-service-fla/,Bloggers," June 15, 2020"," June 18, 2020",barely-true
Says NASCAR “bans the confederate flag but FORCES all their drivers to do Muslim prayer.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/photo-shows-nascar-drivers-kissing-bricks-not-part/,Facebook posts," June 13, 2020"," June 18, 2020",pants-fire
"“If we stopped testing right now, we'd have very few cases, if any.”",https://www.politifact.com/factchecks/2020/jun/17/donald-trump/trumps-take-covid-testing-gives-short-shrift-publi/,Donald Trump," June 15, 2020"," June 17, 2020",pants-fire
Says the state of Maryland issued these Independence Day 2020 safety guidelines.,https://www.politifact.com/factchecks/2020/jun/17/facebook-posts/maryland-july-4th-safety-guidelines-poster-fake/,Facebook posts," June 14, 2020"," June 17, 2020",pants-fire
“The point of defunding the Police in Minneapolis is that Minnesota is where Obama settled 1 Million Islamics. They want Sharia Law.”,https://www.politifact.com/factchecks/2020/jun/17/facebook-posts/no-obama-did-not-settle-1-million-islamics-minneso/,Facebook posts," June 8, 2020 "," June 17, 2020",FALSE
"“According to its website Black Lives Matter, Inc is NOT a charity. It is a full-fledged corporation that does NOT have any locations.”",https://www.politifact.com/factchecks/2020/jun/17/candace-owens/how-black-lives-matter-global-network-set/,Candace Owens," June 11, 2020"," June 17, 2020",FALSE
A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.,https://www.politifact.com/factchecks/2020/jun/17/facebook-posts/was-race-only-difference-sentencing-two-defendants/,Facebook posts," June 11, 2020"," June 17, 2020",mostly-true
"There are state workers who are ""idle"" at home during the coronavirus pandemic.",https://www.politifact.com/factchecks/2020/jun/17/scott-walker/claim-state-workers-are-being-paid-sit-idle-home-l/,Scott Walker," June 5, 2020 "," June 17, 2020",half-true
“CNN lightened the photo of the man who drove into the protester last night in Seattle.”,https://www.politifact.com/factchecks/2020/jun/17/facebook-posts/cnn-did-not-lighten-photo-man-accused-driving-seat/,Facebook posts," June 14, 2020"," June 17, 2020",pants-fire
Says news stories referencing 322 and COVID-19 are proof cases are being “synchronized”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/conspiracy-claim-linking-covid-19-reports-number-3/,Facebook posts," June 15, 2020"," June 16, 2020",pants-fire
"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”",https://www.politifact.com/factchecks/2020/jun/16/desiree-rogers/blacks-hispanics-less-likely-have-jobs-where-they-/,Desiree Rogers," June 10, 2020"," June 16, 2020",TRUE
"Says photo of beaten woman is Aracely Henriquez, a pregnant woman who George Floyd assaulted during an armed robbery.",https://www.politifact.com/factchecks/2020/jun/16/instagram-posts/no-photo-doesnt-show-woman-george-floyd-allegedly-/,Instagram posts," June 14, 2020"," June 16, 2020",FALSE
“The CDC just confirmed a 0.2% death-rate for COVID19.”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/widely-shared-facebook-posts-mislead-covid-19-mort/,Facebook posts," June 11, 2020"," June 16, 2020",barely-true
"""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.""",https://www.politifact.com/factchecks/2020/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,Mike Pence," June 15, 2020"," June 16, 2020",FALSE
“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/offer-free-horses-2011-not-tied-covid-19/,Facebook posts," June 14, 2020"," June 16, 2020",FALSE
“George Floyd’s ‘murder’ filmed before COVID-19.”,https://www.politifact.com/factchecks/2020/jun/16/viral-image/floyds-death-wasnt-filmed-pandemic/,Viral image," June 14, 2020"," June 16, 2020",pants-fire
Says Joe Biden called ANTIFA “courageous Americans.”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/no-joe-biden-didnt-single-out-antifa-courageous/,Facebook posts," June 5, 2020 "," June 16, 2020",FALSE
"“Cops in Norway: require 3 years of training, 4 people killed since 2002. Cops in Finland: require 2 years of training, 7 people killed since 2000. Cops in Iceland: require 2 years of training, 1 person killed since ever. Cops in the U.S.: require 21 weeks of training, 8,000+ people killed since 2001.”",https://www.politifact.com/factchecks/2020/jun/16/viral-image/post-comparing-us-police-training-and-fatal-shooti/,Viral image," June 8, 2020 "," June 16, 2020",half-true
"“Detroit spent $294 million on police last year, and $9 million on health.”",https://www.politifact.com/factchecks/2020/jun/16/rashida-tlaib/fact-checking-rep-tlaibs-claim-detroits-police-hea/,Rashida Tlaib," June 4, 2020 "," June 16, 2020",mostly-true
“The owner of Taco Bell said them animals need to be shot (black ppl)!”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/ex-employee-taco-bell-not-owner-made-threatening-c/,Facebook posts," June 1, 2020 "," June 16, 2020",FALSE
“United States Navy Seal Team ... helicopter was shot down yesterday in Afghanistan and they lost 30 members of the team.”,https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/no-helicopter-transporting-us-soldiers-was-not-rec/,Facebook posts," June 6, 2020 "," June 15, 2020",barely-true
"Donald Trump is recruiting “excited and enthusiastic MINORITY actors and actresses” to appear at his campaign rally in Tulsa, Okla.",https://www.politifact.com/factchecks/2020/jun/15/viral-image/history-hoaxes-fake-craigslist-ads-solicit-minorit/,Viral image," June 15, 2020"," June 15, 2020",FALSE
"“Corona Virus claims a black belt. Chuck Norris, Dead at 80.”",https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/chuck-norris-felled-tiny-virus-dont-believe-it/,Facebook posts," June 11, 2020"," June 15, 2020",FALSE
"“N95 masks block few, if any” COVID-19 particles due to their size.",https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/claim-n95-masks-cant-stop-covid-19-particles-due-s/,Facebook posts," June 4, 2020 "," June 15, 2020",pants-fire
“Why did the state do that with COVID patients in nursing homes? It’s because the state followed President Trump’s CDC guidance.”,https://www.politifact.com/factchecks/2020/jun/13/andrew-cuomo/new-yorks-nursing-home-policy-was-not-line-cdc/,Andrew Cuomo," May 20, 2020 "," June 13, 2020",barely-true
Says Robert E. Lee opposed slavery and secession and has come to symbolize both slavery and secession.,https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/fact-checking-claims-about-robert-e-lees-position-/,Facebook posts," May 26, 2019 "," June 12, 2020",barely-true
"“All money donated to Black Lives Matter goes directly to Act Blue, a Democrat Super PAC that then feeds the money to Democrat candidates.”",https://www.politifact.com/factchecks/2020/jun/12/ryan-fournier/conservative-pundits-share-false-claim-about-black/,Ryan Fournier," June 11, 2020"," June 12, 2020",FALSE
"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”",https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/masks-covid-19-are-effective-six-part-facebook-tak/,Facebook posts," June 8, 2020 "," June 12, 2020",FALSE
The Buffalo protester pushed to the ground “had been previously arrested 300 times. 82 times for incitement. Riots is what he does for a living.”,https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/social-media-posts-smear-buffalo-protester-shoved-/,Facebook posts," June 9, 2020 "," June 12, 2020",FALSE
Says Donald Trump has opposed plans to clean up “Toxic chemicals that cause cancer (that) are in the water …. (and) put Wisconsin at risk.”,https://www.politifact.com/factchecks/2020/jun/12/league-conservation-voters/league-conservation-voters-ad-oversimplifies-trump/,League of Conservation Voters," May 18, 2020 "," June 12, 2020",half-true
"“Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.”",https://www.politifact.com/factchecks/2020/jun/12/george-borrello/fact-checking-coronavirus-infection-rates-western-/,George Borrello," May 11, 2020 "," June 12, 2020",TRUE
"Nancy Pelosi ordered a 220-seat Boeing 757 to fly to her home state, costing taxpayers nearly $5.8 million annually.",https://www.politifact.com/factchecks/2020/jun/12/facebook-posts/no-nancy-pelosi-does-not-fly-200-seat-boeing-757-j/,Facebook posts," March 25, 202"," June 12, 2020",FALSE
